race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds
R9,Race 9 - Gosford 2100m,2,Bois D'argent,1,Annabel & Rob Archibald,Nash Rawiller,10
R9,Race 9 - Gosford 2100m,3,Doctor Askar,19,Chris Waller,Adam Hyeronimus,46
R9,Race 9 - Gosford 2100m,5,Maison Louis,14,Tom Charlton,Dylan Gibbons,8.5
R9,Race 9 - Gosford 2100m,6,Sayedaty Sadaty,4,Ciaron Maher,Tyler Schiller,14
R9,Race 9 - Gosford 2100m,8,Unspoken,5,Peter Snowden,Ashley Morgan,46
R9,Race 9 - Gosford 2100m,10,Star Of India,17,Chris Waller,Sam Clipperton,18
R9,Race 9 - Gosford 2100m,11,You Wahng,2,Kris Lees,Regan Bayliss,6.5
R9,Race 9 - Gosford 2100m,12,Portland,3,Matthew Smith,Kerrin McEvoy,5
R9,Race 9 - Gosford 2100m,13,Touristic,11,Peter Snowden,Andrew Adkins,26
R9,Race 9 - Gosford 2100m,15,Sunset Park,6,Brad Widdup,Rachel King,8
R9,Race 9 - Gosford 2100m,16,Zaphod,8,Kris Lees,Andrew Gibbons,9
R9,Race 9 - Gosford 2100m,19,Our Gold Hope,9,Robert & Luke Price,Jay Ford,12
R10,Race 10 - Gosford 1200m,1,Mogul Monarch,12,Kim Waugh,William Stanley,12
R10,Race 10 - Gosford 1200m,2,Stay Focused,17,Ciaron Maher,Zac Wadick,26
R10,Race 10 - Gosford 1200m,3,Hillier,8,Annabel & Rob Archibald,Nash Rawiller,6.5
R10,Race 10 - Gosford 1200m,4,Shirvington,2,Bjorn Baker,Rachel King,16
R10,Race 10 - Gosford 1200m,5,Anythink Goes,16,Matthew Smith,Anna Roper,51
R10,Race 10 - Gosford 1200m,6,Mawjood,3,Bjorn Baker,Joshua Parr,6
R10,Race 10 - Gosford 1200m,7,Winston Hills,9,Matthew Smith,Ashley Morgan,15
R10,Race 10 - Gosford 1200m,10,Damien,7,Kris Lees,Dylan Gibbons,9
R10,Race 10 - Gosford 1200m,11,Who Ever Thought,5,Jeremy Gask,Reece Jones,67
R10,Race 10 - Gosford 1200m,12,Scintilla,6,Les Bridge,Kerrin McEvoy,4.6
R10,Race 10 - Gosford 1200m,13,La Roja,4,Peter Snowden,Tyler Schiller,4
R10,Race 10 - Gosford 1200m,17,Common Goal,1,Joseph Ible,Mollie Fitzgerald,61
